methodName,time
getAttribute(Ljava/lang/String;)Ljava/lang/Object;,211
getQueryString()Ljava/lang/String;,189
getRequestURI()Ljava/lang/String;,49
collectCssToExclude()[Ljava/lang/String;,462
get(Ljavax/servlet/ServletRequest;)Lcom/github/dandelion/core/web/AssetRequestContext;,301
getCanonicalName()Ljava/lang/String;,164
getAttribute(Ljava/lang/String;)Ljava/lang/Object;,107
cast(Ljava/lang/Object;)Ljava/lang/Object;,47
getExcludedCss()[Ljava/lang/String;,146
toArray([Ljava/lang/Object;)[Ljava/lang/Object;,62
size()I,57
getExcludedBundles()[Ljava/lang/String;,91
size()I,35
toArray([Ljava/lang/Object;)[Ljava/lang/Object;,34
<init>()V,109
toArray([Ljava/lang/Object;)[Ljava/lang/Object;,81
size()I,51
getBundles(Z)[Ljava/lang/String;,435
<init>(Ljava/util/Collection;)V,139
removeAll(Ljava/util/Collection;)Z,129
toArray([Ljava/lang/Object;)[Ljava/lang/Object;,85
size()I,45
process(Ljava/util/Set;Ljavax/servlet/http/HttpServletRequest;)Ljava/util/Set;,259
getActiveProcessors()Ljava/util/List;,97
isEmpty()Z,78
isDevModeEnabled()Z,186
equalsIgnoreCase(Ljava/lang/String;)Z,96
getDandelionMode()Lcom/github/dandelion/core/DandelionMode;,32
bundlesFor([Ljava/lang/String;)Ljava/util/Set;,113
<init>()V,101
<init>()V,127
getCacheManager()Lcom/github/dandelion/core/asset/cache/AssetCacheManager;,102
toString()Ljava/lang/String;,88
<init>(Ljavax/servlet/http/HttpServletRequest;Lcom/github/dandelion/core/Context;)V,70
hasNext()Z,67
iterator()Ljava/util/Iterator;,59
getBundleStorage()Lcom/github/dandelion/core/storage/BundleStorage;,35
getProcessorManager()Lcom/github/dandelion/core/asset/processor/AssetProcessorManager;,27
getParameter(Ljava/lang/String;)Ljava/lang/String;,3635
<init>(Ljavax/servlet/http/HttpServletResponse;)V,367
<init>(Ljava/io/OutputStream;)V,2281
<init>(Lcom/github/dandelion/core/web/ByteArrayResponseWrapper;Ljava/io/ByteArrayOutputStream;Lcom/github/dandelion/core/web/ByteArrayResponseWrapper$1;)V,152
<init>(Lcom/github/dandelion/core/web/ByteArrayResponseWrapper;Ljava/io/ByteArrayOutputStream;)V,135
<init>()V,67
<init>()V,137
<init>(Ljavax/servlet/http/HttpServletResponse;)V,105
print(Ljava/lang/String;)V,2237
toByteArray()[B,129
flush()V,1717
toByteArray()[B,222
<init>([B)V,1695
isDevModeEnabled()Z,497
equalsIgnoreCase(Ljava/lang/String;)Z,422
getDandelionMode()Lcom/github/dandelion/core/DandelionMode;,94
withPosition(Lcom/github/dandelion/core/asset/AssetDomPosition;)Lcom/github/dandelion/core/asset/AssetQuery;,231
filtersByDomPosition(Ljava/util/Set;Lcom/github/dandelion/core/asset/AssetDomPosition;)Ljava/util/Set;,331
<init>()V,198
addAll(Ljava/util/Collection;)Z,136
iterator()Ljava/util/Iterator;,66
hasNext()Z,47
isRelevant(Ljavax/servlet/http/HttpServletRequest;Lcom/github/dandelion/core/web/ByteArrayResponseWrapper;)Z,355
contains(Ljava/lang/CharSequence;)Z,90
getAttribute(Ljava/lang/String;)Ljava/lang/Object;,66
getParameter(Ljava/lang/String;)Ljava/lang/String;,46
getWriter()Ljava/io/PrintWriter;,435
setAttribute(Ljava/lang/String;Ljava/lang/Object;)V,245
isEmpty()Z,64
perform()Ljava/util/Set;,40
URL: /petclinic/vets.html()V,768
doFilter(Ljavax/servlet/ServletRequest;Ljavax/servlet/ServletResponse;Ljavax/servlet/FilterChain;)V,5462
doFilter(Ljavax/servlet/ServletRequest;Ljavax/servlet/ServletResponse;)V,4081
doFilter(Ljavax/servlet/ServletRequest;Ljavax/servlet/ServletResponse;Ljavax/servlet/FilterChain;)V,369
doFilter(Ljavax/servlet/ServletRequest;Ljavax/servlet/ServletResponse;)V,152670755
_jspService(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,74155
doEndTag()I,1649
setupHtmlGeneration()I,2390
generateWebResources()Lcom/github/dandelion/datatables/core/asset/JsResource;,9653
loadExtensions(Lcom/github/dandelion/datatables/core/asset/JsResource;Ljava/util/Map;)V,3231
registerBuiltInExtensions(Lcom/github/dandelion/datatables/core/html/HtmlTable;)V,204
scanForExtensions([Ljava/lang/String;)Ljava/util/List;,164
scanForExtensions(Ljava/lang/String;)Ljava/util/List;,2648
getSubClassesInPackage(Ljava/lang/String;Ljava/lang/Class;)Ljava/util/List;,1861
findClasses(Ljava/lang/String;Ljava/lang/String;)Ljava/util/TreeSet;,45844
getNextEntry()Ljava/util/zip/ZipEntry;,693779
replaceAll(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,82573
openStream()Ljava/io/InputStream;,11329
getName()Ljava/lang/String;,9942
endsWith(Ljava/lang/String;)Z,6549
replace(CC)Ljava/lang/String;,5401
exists()Z,4902
startsWith(Ljava/lang/String;)Z,4262
<init>(Ljava/io/InputStream;)V,1204
split(Ljava/lang/String;)[Ljava/lang/String;,874
add(Ljava/lang/Object;)Z,467
<init>(Ljava/lang/String;)V,388
<init>(Ljava/lang/String;)V,204
contains(Ljava/lang/CharSequence;)Z,81
<init>()V,50
getResources(Ljava/lang/String;)Ljava/util/Enumeration;,69993
hasMoreElements()Z,8488
forName(Ljava/lang/String;)Ljava/lang/Class;,7903
<clinit>()V,61
<init>(Ljava/lang/String;I)V,8
<init>(Ljava/lang/String;I)V,9
